gamb,-23.13,-134.965,81.068,-0.0097,0.055,0.0454,0.1693,3768,-0.0019,0.0499,0.0406,0.1564,4380,0.0011,0.045,0.0372,0.132,4272,0.0012,0.043,0.0345,0.133,4344,-0.0021,0.0482,0.0392,0.1693,16764
gamg,35.59,127.92,898.703,-0.0096,0.0472,0.0341,0.1623,4248,-0.0102,0.0479,0.0345,0.1648,4368,-0.0133,0.0487,0.0343,0.1897,4320,-0.0095,0.048,0.0346,0.1782,4368,-0.0106,0.048,0.0344,0.1897,17304
ganp,49.035,20.323,746.453,-0.0165,0.0365,0.0286,0.1476,4368,-0.0172,0.0336,0.0264,0.1252,4380,-0.0092,0.0304,0.0235,0.1244,4308,-0.015,0.0339,0.0269,0.1152,4296,-0.0145,0.0337,0.0264,0.1476,17352
geno,44.419,8.921,153.878,-0.0009,0.0363,0.0286,0.1377,4320,-0.0146,0.0392,0.0317,0.1337,4320,-0.0086,0.037,0.0296,0.132,4236,-0.0181,0.0418,0.033,0.1377,4344,-0.0106,0.0386,0.0307,0.1377,17220
gode,39.022,-76.827,14.927,-0.0008,0.0585,0.0491,0.175,4380,-0.0006,0.0582,0.0474,0.2115,4344,0.002,0.0572,0.048,0.1667,4308,0.006,0.0588,0.0487,0.1789,4356,0.0016,0.0582,0.0483,0.2115,17388
godn,39.021,-76.827,18.294,-0.002,0.0586,0.0491,0.1724,4320,-0.0027,0.0588,0.0478,0.2113,4356,-0.0002,0.0573,0.0478,0.1688,4320,0.0046,0.0583,0.0479,0.184,4140,-0.0001,0.0583,0.0482,0.2113,17136
gods,39.021,-76.827,19.523,-0.0016,0.0584,0.049,0.1732,4332,0.0034,0.0566,0.0457,0.2121,3648,-0.001,0.0571,0.0476,0.1647,4236,0.0043,0.0581,0.0478,0.1827,4140,0.0012,0.0576,0.0476,0.2121,16356
godz,39.022,-76.827,14.947,-0.0008,0.0587,0.0493,0.1756,4344,-0.0013,0.0586,0.0479,0.2129,4332,0.0022,0.0582,0.049,0.1655,3852,0.0058,0.0591,0.0488,0.179,4236,0.0014,0.0587,0.0487,0.2129,16764
gol2,35.425,-116.889,987.061,0.0069,0.0339,0.0269,0.1423,4368,0.0098,0.03,0.0237,0.1054,4356,0.0033,0.0339,0.0262,0.1679,4332,-0.0048,0.039,0.0286,0.1757,3804,0.0041,0.0342,0.0263,0.1757,16860
gop6,49.914,14.786,593.033,-0.0206,0.0378,0.0291,0.1358,4308,-0.0184,0.037,0.0286,0.1451,4332,-0.0117,0.0321,0.0249,0.1134,4272,-0.0177,0.037,0.0291,0.1182,4356,-0.0171,0.0361,0.0279,0.1451,17268
gope,49.914,14.786,593.038,-0.0152,0.035,0.0271,0.1283,4296,-0.0181,0.0363,0.028,0.1446,4344,-0.0126,0.0324,0.025,0.1137,4284,-0.0188,0.0377,0.0296,0.1199,4356,-0.0162,0.0354,0.0274,0.1446,17280
grac,43.754,6.921,1320.227,-0.0168,0.0355,0.0286,0.111,4248,-0.0228,0.0374,0.0308,0.1039,4272,-0.0161,0.0348,0.0284,0.1076,3972,-0.0249,0.0398,0.0323,0.1153,4332,-0.0202,0.037,0.0301,0.1153,16824
gras,43.755,6.921,1319.745,-0.0169,0.0357,0.0288,0.1129,4272,-0.0227,0.0373,0.0306,0.1047,4128,-0.0169,0.0355,0.0289,0.1078,4164,-0.0245,0.0398,0.0323,0.1169,4356,-0.0203,0.0371,0.0302,0.1169,16920
graz,47.067,15.493,538.718,-0.0142,0.0332,0.0262,0.117,4260,-0.0145,0.0332,0.0259,0.1227,4284,-0.0071,0.0293,0.0227,0.1206,4296,-0.019,0.035,0.0279,0.107,4200,-0.0137,0.0327,0.0257,0.1227,17040
